Accession	Date	Country	Virus	Study
NC_018102.1	2008-09-19	Malawi	MWPyV	NA
JX262162.1	2012-06-07	USA	MWPyV	NA
LC822567.1	2024-01-01	Japan	MWPyV	NA
OP910238.1	2022-01-01	Brazil	MWPyV	NA
OP910239.1	2022-01-01	Brazil	MWPyV	NA
KR338953.1	2013-03-01	China	MWPyV	NA
KC690147.1	2007-06-02	USA	MWPyV	NA
KC571700.1	2011-01-01	China	MWPyV	NA
KC571701.1	2011-01-01	China	MWPyV	NA
KC571702.1	2011-01-01	China	MWPyV	NA
KC571703.1	2011-01-01	China	MWPyV	NA
KC571704.1	2011-01-01	China	MWPyV	NA
KC571705.1	2011-01-01	China	MWPyV	NA
KC549586.1	2008-04-03	Australia	MWPyV	NA
KC549587.1	2012-07-31	Australia	MWPyV	NA
KC549588.1	2012-08-03	Australia	MWPyV	NA
KC549589.1	2007-09-10	Australia	MWPyV	NA
KC549590.1	2009-01-13	Australia	MWPyV	NA
KC549591.1	2010-01-31	Australia	MWPyV	NA
KC549592.1	2008-04-04	Australia	MWPyV	NA
KC549593.1	2008-10-28	Australia	MWPyV	NA
KC549594.1	2008-10-30	Australia	MWPyV	NA
JQ898292.1	2009-08-11	USA	MWPyV	NA
JX259273.1	NA	Mexico	MWPyV	NA
NC_001538.1	NA	NA	BKPyV	NA
NC_001699.1	NA	NA	JCPyV	NA
Consensus_MW46_ivar_threshold_0_quality_20	2024-07-10	Brazil	MWPyV	MWPyV46
Consensus_MW57_ivar_threshold_0_quality_20	2024-08-07	Brazil	MWPyV	MWPyV57
Consensus_MW103_ivar_threshold_0_quality_20	2024-03-26	Brazil	MWPyV	MWPyV103
Consensus_MW105_ivar_threshold_0_quality_20	2024-04-30	Brazil	MWPyV	MWPyV105
Consensus_MW108_ivar_threshold_0_quality_20	2024-06-18	Brazil	MWPyV	MWPyV108
Consensus_MW232_ivar_threshold_0_quality_20	2024-09-10	Brazil	MWPyV	MWPyV232
